Quarter,Year,Company_Name,Ticker,SharePrice_USD,Expenses_B_USD,Revenue_B_USD,CashFlow_B_USD,DividendYield_Percent,US_Unemployment_Percent,Brent_USD,LNG_USD,US_Interest_Percent
1,2017,Exxon,XOM,84,57.22,61.09,5.28,0.0075,0.046,54,3.29,0.0070
1,2017,BP,BP,35,53.76,55.86,-1.71,0.0060,0.046,54,3.29,0.0070
1,2017,Equinor,EQNR,18,11.28,15.47,3.59,0.0022,0.046,54,3.29,0.0070
1,2017,Chevron,CVX,112,30.24,31.52,0.56,0.0108,0.046,54,3.29,0.0070
1,2017,Shell,RDS-A,57,68.83,71.80,5.20,0.0094,0.046,54,3.29,0.0070
1,2017,Total,TOT,51,34.93,36.09,2.02,0.0065,0.046,54,3.29,0.0070
2,2017,Exxon,XOM,82,58.56,60.83,3.85,0.0077,0.044,50,3.12,0.0095
2,2017,BP,BP,35,55.85,57.37,0.71,0.0060,0.044,50,3.12,0.0095
2,2017,Equinor,EQNR,17,11.68,14.86,1.62,0.0022,0.044,50,3.12,0.0095
2,2017,Chevron,CVX,106,32.48,32.88,1.81,0.0108,0.044,50,3.12,0.0095
2,2017,Shell,RDS-A,56,69.22,72.13,5.63,0.0094,0.044,50,3.12,0.0095
2,2017,Total,TOT,52,32.50,34.48,1.32,0.0069,0.044,50,3.12,0.0095
3,2017,Exxon,XOM,79,60.47,64.42,2.62,0.0077,0.044,52,3.05,0.0115
3,2017,BP,BP,35,57.18,60.02,1.89,0.0060,0.044,52,3.05,0.0115
3,2017,Equinor,EQNR,18,12.50,13.53,0.14,0.0022,0.044,52,3.05,0.0115
3,2017,Chevron,CVX,109,33.51,33.89,2.15,0.0108,0.044,52,3.05,0.0115
3,2017,Shell,RDS-A,57,71.06,75.83,2.56,0.0094,0.044,52,3.05,0.0115
3,2017,Total,TOT,51,33.69,37.08,1.26,0.0073,0.044,52,3.05,0.0115
4,2017,Exxon,XOM,83,48.83,50.83,2.91,0.0077,0.042,61,3.84,0.0120
4,2017,BP,BP,40,67.56,67.82,1.48,0.0060,0.042,61,3.84,0.0120
4,2017,Equinor,EQNR,20,11.93,17.11,1.71,0.0022,0.042,61,3.84,0.0120
4,2017,Chevron,CVX,118,35.96,36.38,2.59,0.0108,0.042,61,3.84,0.0120
4,2017,Shell,RDS-A,65,80.59,85.42,1.41,0.0094,0.042,61,3.84,0.0120
4,2017,Total,TOT,55,40.22,41.44,3.95,0.0073,0.042,61,3.84,0.0120
